studio,animes,sources,genres,male_score,female_score
100studio,Kono Sekai wa Fukanzen Sugiru,Web manga,"Adventure, Fantasy",,
10Gauge,"Tobidasu PriPara: Mi~nna de Mezase! Idol☆Grand Prix, Gan Gan Ganko-chan 2nd Season, Drop, Osomatsu-san Short Film Series, Gan Gan Ganko-chan, Pretty Rhythm Movie: All Star Selection - Prism Show☆Best Ten, Heikousen, Perfect Sekai","Manga, Other, Game, Original","Comedy, Sci-Fi, Sports, Slice of Life, Comedy, UNKNOWN, Romance",,
1IN,Renwu Dashi,Original,"Action, Adventure, Fantasy",,
2:10 AM Animation,"Zhu Tian Ji, Wangu Jian Shen (2022), Wo Shi Jiang Xiaobai 2nd Season, Dahuoji Yu Gongzhu Qun, Ju Bing Chang Cheng Zhuan, Wo Shi Jiang Xiaobai, Mi Bao Zhi Guo, Zhanguo Fan, Wo Shi Jiang Xiaobai (2018)","Web novel, Manga, Original, Novel","Action, Adventure, Fantasy, Fantasy, Mystery, Sci-Fi, Fantasy, Drama, Romance, Slice of Life, Drama, Romance",,
33 Collective,Chara to Otamajakushi Shima,Original,"Adventure, Fantasy",,
5 Inc.,"Exception, Make My Day",Original,"Horror, Suspense, Sci-Fi",,
6pucks,"Time Machine, Chinpu na Otoko",Original,"Award Winning, Drama, Drama, Sci-Fi",,
7doc,"AOTU Xueyuan, AOTU Shijie 2, AOTU Shijie 3, AOTU Xueyuan: Ge Rui de Xinnian, AOTU Xueyuan 2nd Season, AOTU Shijie, AOTU Shijie 4",Web manga,"Action, Adventure, Fantasy, Sci-Fi, Comedy, Fantasy",,
81 Produce,Otaku no Seiza,Game,Comedy,,
8bit,"Absolute Duo, Oshi ga Budoukan Ittekuretara Shinu, Grisaia no Rakuen Specials, Tensei shitara Slime Datta Ken 2nd Season, Yama no Susume Second Season Specials, Yama no Susume Third Season, Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2, Busou Shinki: Install x Dream, Aquarion Evol, Tensura Nikki: Tensei shitara Slime Datta Ken, Grisaia no Kajitsu Specials, Mahouka Koukou no Rettousei 10-shuunen Kinen PV, Grisaia no Meikyuu: Caprice no Mayu 0, IS: Infinite Stratos 2 - Hitonatsu no Omoide, Tensei shitara Slime Datta Ken: Kanwa - Veldora Nikki, Shounen Maid, Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo, Zenonzard The Animation Episode 0, Sukuwareru Ramiris, All Alone With You, Rewrite 2nd Season, Tensei shitara Slime Datta Ken OVA, Macross F Movie 2: Sayonara no Tsubasa, Mahouka Koukou no Rettousei: Raihousha-hen, Mahouka Koukou no Rettousei: Tsuioku-hen, Grisaia no Kajitsu, Tensei shitara Slime Datta Ken, Shy, Tensei shitara Slime Datta Ken 2nd Season Part 2, Comet Lucifer, Yama no Susume Second Season, Yama no Susume: Omoide Present, Grisaia no Rakuen, Miira no Kaikata, Tokyo Ravens, Zenonzard The Animation, IS: Infinite Stratos, IS: Infinite Stratos 2, Hoshiai no Sora, Yama no Susume, Rewrite, Blue Lock, Knight's & Magic, Tensei shitara Slime Datta Ken: Kanwa - Hinata Sakaguchi, IS: Infinite Stratos 2 - World Purge-hen, IS: Infinite Stratos 2 - Infinite Wedding, IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou, Tensei shitara Slime Datta Ken: Coleus no Yume, Synduality: Noir, Yama no Susume: Kabe tte Kowakunai no?, Walkure Romanze, Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen, Busou Shinki, Shounen Maid: Onna wa Dokyou, Otoko wa Aikyou?, Grisaia no Meikyuu: Caprice no Mayu 0 - Takizono Basketball Club no Nama Cream Party!, Macross F Movie 1: Itsuwari no Utahime, Yama no Susume: Next Summit","Visual novel, Light novel, Manga, Other, Music, Game, Mixed media, Original, Unknown, Web manga","Action, Action, Comedy, Sci-Fi, Action, Fantasy, Ecchi, Action, Sci-Fi, Slice of Life, Comedy, Slice of Life, Adventure, Comedy, Slice of Life, Comedy, Romance, Drama, Sports, Fantasy, Slice of Life, UNKNOWN, Action, Comedy, Sci-Fi, Ecchi, Romance, Sports, Ecchi, Action, Fantasy, Romance, Ecchi, Action, Fantasy, Romance, Drama, Romance, Slice of Life, Adventure, Slice of Life, Action, Award Winning, Romance, Sci-Fi, Action, Sci-Fi, Action, Fantasy, Sci-Fi, Action, Adventure, Fantasy, Action, Fantasy, Romance, Sci-Fi, Sports, Fantasy, Action, Comedy, Romance, Supernatural, Drama, Action, Drama, Comedy, Girls Love, Action, Adventure, Comedy, Fantasy, Action, Romance, Sci-Fi, Comedy, Fantasy, Sci-Fi",,0.0
