source,female_count,male_count,female_percentage,male_percentage
TV,2172,5519,28.24,71.76
Visual novel,646657,1800061,26.43,73.57
Digital manga,6128,11239,35.29,64.71
Original,1778273,4574674,27.99,72.01
Novel,410685,899754,31.34,68.66
Picture book,5270,7110,42.57,57.43
Book,28696,39683,41.97,58.03
Unknown,381452,1011208,27.39,72.61
Other,115514,294737,28.16,71.84
Radio,902,1939,31.75,68.25
Manga,4365668,10194460,29.98,70.02
4-koma manga,249691,750484,24.96,75.04
OVA,47,320,12.81,87.19
Music,33511,62267,34.99,65.01
Game,336981,924602,26.71,73.29
Web manga,150510,354224,29.82,70.18
Card game,21874,66138,24.85,75.15
Light novel,1144877,4387934,20.69,79.31
