title,female_count,male_count,popularity,female_percentage,male_percentage
"\"\"\"Bungaku Shoujo\"\" Movie\"",3264,5761,1556,36.17,63.83
"\"\"\"Eiji\"\"\"",66,184,8010,26.4,73.6
"\"Dr. Slump Movie 02: \"\"Hoyoyo!\"\" Uchuu Daibouken\"",28,138,8618,16.87,83.13
"\"Naruto Shippuuden: Shippuu! \"\"Konoha Gakuen\"\" Den\"",2957,4372,1771,40.35,59.65
"\"Tokyo Ghoul: \"\"Pinto\"\"\"",1972,4394,951,30.98,69.02
.hack//Intermezzo,1026,2850,2766,26.47,73.53
009-1,511,1888,3263,21.3,78.7
07-Ghost,9135,10107,552,47.47,52.53
1001 Nights,533,744,4376,41.74,58.26
18if,728,2053,2027,26.18,73.82
1989,50,106,8894,32.05,67.95
3 Choume no Tama: Uchi no Tama Shirimasenka?,124,105,7841,54.15,45.85
30-sai no Hoken Taiiku,1795,4849,1743,27.02,72.98
3x3 Eyes,1025,2371,2784,30.18,69.82
4.Eyes,23,71,9880,24.47,75.53
663114,153,322,6570,32.21,67.79
8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation,37,304,5874,10.85,89.15
A Piece of Phantasmagoria,167,278,6345,37.53,62.47
A-Channel,2966,7813,1149,27.52,72.48
A-Channel: Nabe wo Tabeyou,125,507,5265,19.78,80.22
A-Girl,79,120,8164,39.7,60.3
A.F,40,134,8716,22.99,77.01
ACCA: 13-ku Kansatsu-ka,2131,4823,1064,30.64,69.36
AKB48 Stage Fighter,24,58,9387,29.27,70.73
Aa Harimanada,33,116,8561,22.15,77.85
Aa! Megami-sama!,1824,4880,1807,27.21,72.79
Aa! Megami-sama! (2011),421,1951,3039,17.75,82.25
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,911,2300,2841,28.37,71.63
Aa! Megami-sama!: Sorezore no Tsubasa,1557,6548,1565,19.21,80.79
Aa! Megami-sama!: Tatakau Tsubasa,811,3304,2628,19.71,80.29
Acchi Kocchi,79,217,4858,26.69,73.31
Ace wo Nerae!,396,594,4646,40.0,60.0
Advancer Tina,62,271,7005,18.62,81.38
Adventures in Beauty Wonderland,66,158,8076,29.46,70.54
Aggressive Retsuko,788,809,2933,49.34,50.66
Aggressive Retsuko (ONA),636,973,3267,39.53,60.47
Ahiru Rikusentai,23,65,9881,26.14,73.86
Aho Girl,1624,9497,492,14.6,85.4
Ai (ONA),55,207,7696,20.99,79.01
Ai Doll,81,384,6424,17.42,82.58
Ai Mai! Moe Can Change!,355,855,4653,29.34,70.66
Ai Shoujo Pollyanna Story,330,280,5921,54.1,45.9
Ai Tenchi Muyou!,422,2103,2681,16.71,83.29
Ai Yori Aoshi: Enishi - Miyuki,600,2466,3191,19.57,80.43
Ai no Wakakusa Monogatari,492,385,5130,56.1,43.9
Aikatsu!,1297,1518,2487,46.07,53.93
Aikatsu!: Dai Starmiya Ichigo Matsuri Zenyasai!!,61,74,8327,45.19,54.81
Ail Maniax: Inma Seifukugari & Majogari no Yoru ni,57,306,6653,15.7,84.3
Aimai Elegy,231,253,6721,47.73,52.27
Air Gear Special,1453,4975,1839,22.6,77.4
Aisai Nikki,167,797,4398,17.32,82.68
Aishite Knight,599,366,4963,62.07,37.93
Ajin Part 2: Shoutotsu,580,1110,3010,34.32,65.68
Ajin Part 3: Shougeki,515,976,3213,34.54,65.46
Akachan to Boku,827,835,3507,49.76,50.24
Akagami no Shirayuki-hime,6971,11158,269,38.45,61.55
Akagami no Shirayuki-hime 2nd Season,4126,5879,602,41.24,58.76
Akage no Anne,1160,1276,3224,47.62,52.38
Akage no Anne: Green Gables e no Michi,152,134,7274,53.15,46.85
Akai Hayate,49,155,8063,24.02,75.98
Akakichi no Eleven,55,115,7912,32.35,67.65
Akatsuki no Yona,8390,14551,165,36.57,63.43
Akazukin Chacha OVA,186,219,7017,45.93,54.07
Aki no Kanade,668,1332,3289,33.4,66.6
Aki-Sora: Yume no Naka,1322,5786,1594,18.6,81.4
Akiba&#039;s Trip The Animation,775,5385,1109,12.58,87.42
Akibakei Kanojo,322,1888,3490,14.57,85.43
Akihabara Dennou-gumi: 2011-nen no Natsuyasumi,131,211,7264,38.3,61.7
Akina to Onsen de H Shiyo!,84,768,4683,9.86,90.14
Akira,6679,22779,198,22.67,77.33
Aku no Onna Kanbu,80,681,4618,10.51,89.49
Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,899,2131,2344,29.67,70.33
Aldnoah.Zero Extra Archives,205,760,3735,21.24,78.76
Alexander Senki,230,736,4934,23.81,76.19
Alexander Senki Movie,109,219,7382,33.23,66.77
All Alone With You,723,1563,3567,31.63,68.37
Allison to Lillia,1791,4474,2030,28.59,71.41
Alps no Shoujo Heidi (1979),139,152,6697,47.77,52.23
Amaama to Inazuma,3315,9456,541,25.96,74.04
Amagami SS+ Plus Picture Drama,195,1334,3571,12.75,87.25
Amagi Brilliant Park,5050,18774,194,21.2,78.8
Amai Choubatsu: Watashi wa Kanshu Senyou Pet,414,399,4008,50.92,49.08
Amanchu! Advance,432,1646,2930,20.79,79.21
Amazing Nuts!,747,1157,4225,39.23,60.77
Anata dake Konbanwa,61,616,5111,9.01,90.99
And And,41,116,9148,26.11,73.89
Ane Log: Moyako Neesan no Tomaranai Monologue,191,1607,3216,10.62,89.38
Aneki... My Sweet Elder Sister The Animation,164,987,4069,14.25,85.75
Angel Beats!,17896,46998,7,27.58,72.42
Angel Core: Tenshi-tachi no Sumika,111,609,5481,15.42,84.58
Angelium,142,691,5401,17.05,82.95
"Aniki no Yome-san nara, Ore ni Hamerarete Hiihii Itteru Tokoro Da yo",19,291,5906,6.13,93.87
Anima,99,184,7831,34.98,65.02
Animation Seisaku Shinkou Kuromi-chan 2,264,750,5170,26.04,73.96
Anime 80-nichikan Sekai Isshuu,297,376,6101,44.13,55.87
Anime Oyako Gekijou,110,180,7726,37.93,62.07
Anime Sanjuushi: Aramis no Bouken,78,95,8538,45.09,54.91
Anime Tenchou Movie,101,286,7387,26.1,73.9
Animegatari x Ghost in the Shell Collab Eizou,47,160,7596,22.71,77.29
Animegataris,703,3151,1721,18.24,81.76
Another,15856,35431,26,30.92,69.08
Ao Haru Ride,9743,14033,170,40.98,59.02
Ao Oni The Animation,526,910,3409,36.63,63.37
Ao no 6-gou,1346,4176,1950,24.38,75.62
Ao no Exorcist,17560,35143,14,33.32,66.68
Ao no Exorcist: Kyoto Fujouou-hen OVA,1132,1978,1966,36.4,63.6
Ao no Kanata no Four Rhythm,1471,6893,895,17.59,82.41
Aoi Chou,108,149,8452,42.02,57.98
Aoki Ryuusei SPT Layzner OVA,25,162,8307,13.37,86.63
Appleseed XIII Remix Movie 2: Yogen,101,354,5975,22.2,77.8
Arabian Nights: Sindbad no Bouken,36,98,8780,26.87,73.13
Arad Senki: Slap Up Party,592,1891,3388,23.84,76.16
Arakawa Under the Bridge x Bridge,3763,9981,855,27.38,72.62
Aria The OVA: Arietta,1019,3819,2389,21.06,78.94
Aria The Origination Picture Drama,404,1376,4017,22.7,77.3
Ariel Deluxe,31,130,8684,19.25,80.75
Armitage III,570,2404,2759,19.17,80.83
Arslan Senki,707,1318,3194,34.91,65.09
Aru Zombie Shoujo no Sainan,33,88,9184,27.27,72.73
Asa made Jugyou Chu!,524,4243,2031,10.99,89.01
Asagiri no Miko,424,758,4703,35.87,64.13
Asatte no Houkou.,1511,2569,2730,37.03,62.97
Ashita no Joe,609,2919,2154,17.26,82.74
Ashita no Joe (Movie),69,285,6595,19.49,80.51
Ashita no Joe 2 (Movie),53,250,6827,17.49,82.51
Ashita no Nadja,1819,989,2851,64.78,35.22
Astarotte no Omocha!,1945,10157,925,16.07,83.93
Astarotte no Omocha! EX,585,3624,2353,13.9,86.1
Atama Yama,530,769,4761,40.8,59.2
Attraction,160,267,7286,37.47,62.53
Auction: Bijo Dorei,15,108,8620,12.2,87.8
Ayakashi,1231,3313,2467,27.09,72.91
Azumanga Daioh: Gekijou Tanpen,2047,4790,2061,29.94,70.06
B: The Beginning,1351,4351,1079,23.69,76.31
Baby Princess 3D Paradise 0 [Love],598,3299,2602,15.35,84.65
Baby Steps 2nd Season,802,4043,1495,16.55,83.45
Baby☆Love,804,231,5173,77.68,22.32
Baccano! Specials,4872,12763,718,27.63,72.37
Backkom,23,103,8622,18.25,81.75
Baja no Studio,75,147,7550,33.78,66.22
Baka Baka Baka na Sekai,35,125,8745,21.88,78.13
Baka to Test to Shoukanjuu,8946,28340,129,23.99,76.01
Baka to Test to Shoukanjuu Mini Anime,122,673,4146,15.35,84.65
Baka to Test to Shoukanjuu Ni!,4118,18175,298,18.47,81.53
Baka to Test to Shoukanjuu Specials,1086,3959,1913,21.53,78.47
Baka to Test to Shoukanjuu: Matsuri,2064,9339,999,18.1,81.9
Bakemonogatari,14697,42242,44,25.81,74.19
Baku Tech! Bakugan Gachi,35,82,8171,29.91,70.09
Bakugan Battle Brawlers,1355,2997,1783,31.14,68.86
Bakugan Battle Brawlers: Gundalian Invaders,435,1166,2850,27.17,72.83
Bakuhatsu Sunzen!! Tenshi no Countdown,108,434,6221,19.93,80.07
Bakukyuu Renpatsu!! Super B-Daman,33,88,8808,27.27,72.73
Bakuman. 2nd Season Special,293,785,3770,27.18,72.82
Bakuman. 3rd Season Specials,280,804,3742,25.83,74.17
Bakunyuu Maid Kari,53,473,5761,10.08,89.92
Bakuon!!,694,3875,1747,15.19,84.81
Bakuon!! no Kobeya,31,220,7437,12.35,87.65
Bakuretsu Tenshi,2366,7396,1458,24.24,75.76
Bakusou Kyoudai Let&#039;s & Go,254,657,4607,27.88,72.12
Bakuten Shoot Beyblade,2636,6677,1303,28.3,71.7
Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi,411,851,4379,32.57,67.43
Bamboo Blade,2750,9497,1185,22.45,77.55
BanG Dream!: Asonjatta!,91,348,6053,20.73,79.27
Bananya,1607,1881,1945,46.07,53.93
Bannou Bunka Neko-Musume Specials,68,201,8070,25.28,74.72
Bannou Yasai Ninninman,301,686,5282,30.5,69.5
Barbapapa Sekai wo Mawaru,73,68,9090,51.77,48.23
Bartender,2892,5651,1448,33.85,66.15
Batman: Gotham Knight,775,3293,2717,19.05,80.95
Baton,145,247,7154,36.99,63.01
Battle Athletess Daiundoukai,175,552,5543,24.07,75.93
Battle Can²,9,91,9114,9.0,91.0
Battle Programmer Shirase,726,3825,2325,15.95,84.05
Battle Royal High School,122,591,5293,17.11,82.89
Battle Spirits: Burning Soul,84,194,6543,30.22,69.78
Baymax,65,155,8368,29.55,70.45
Beast Wars Neo,48,220,7333,17.91,82.09
Beautiful World,131,405,6101,24.44,75.56
Beet the Vandel Buster,357,1519,3495,19.03,80.97
Beluga,34,81,9317,29.57,70.43
Ben-To Picture Drama,210,1087,3977,16.19,83.81
Berserk: Ougon Jidai-hen III - Kourin,1466,7820,879,15.79,84.21
Betsu ni Anta no Tame ni Ookiku Natta n ja Nai n Dakara ne!!,74,661,5032,10.07,89.93
Beyblade Burst God,47,139,6607,25.27,74.73
Bible Black,1562,4803,1811,24.54,75.46
Big Order,524,2194,2385,19.28,80.72
Binan Koukou Chikyuu Boueibu LOVE!,3683,2067,1415,64.05,35.95
Birth,104,425,6015,19.66,80.34
Bishoujo Senshi Sailor Moon Memorial,828,537,3718,60.66,39.34
Bishoujo Senshi Sailor Moon R,7561,4498,964,62.7,37.3
Bishoujo Senshi Sailor Moon S,6987,4024,1034,63.45,36.55
Bishoujo Senshi Sailor Moon: Sailor Stars,5692,3094,1290,64.78,35.22
Bishoujo Yuugi Unit Crane Game Girls,243,606,4676,28.62,71.38
Bishoujo Yuugi Unit Crane Game Girls Galaxy,89,272,6585,24.65,75.35
Black Cat: Toozakaru Neko,1186,2323,2881,33.8,66.2
Black Jack,855,1827,2715,31.88,68.12
Black Jack (TV): Hizouban Specials,128,277,6806,31.6,68.4
Black Jack: Heian Sento,77,164,7583,31.95,68.05
Black Jack: Karte NG Extras,41,87,8663,32.03,67.97
Black Lagoon Omake,1232,4916,1758,20.04,79.96
Black★Rock Shooter (TV),7835,17116,283,31.4,68.6
Bleach Colorful!: Gotei Juusan Yatai Daisakusen!,202,494,4539,29.02,70.98
Blend S,2215,8999,440,19.75,80.25
Blood Lad: Wagahai wa Neko de wa Nai,2174,5816,1271,27.21,72.79
Blood-C: None-None Gekijou,311,585,4354,34.71,65.29
Blood: The Last Vampire,4834,8974,1070,35.01,64.99
Bloody Night,125,285,7109,30.49,69.51
Blue Drop: Tenshi-tachi no Gikyoku,1544,2783,2495,35.68,64.32
Blue Gender: The Warrior,358,1296,3981,21.64,78.36
Bobobo-bo Bo-bobo Recap,25,79,8311,24.04,75.96
"Boku no Chikyuu wo Mamotte: Alice kara, Rin-kun e",113,81,7941,58.25,41.75
Boku no Hero Academia,8179,26854,27,23.35,76.65
Boku no Hero Academia 2nd Season,5828,20937,57,21.77,78.23
Boku no Yayoi-san,26,297,5899,8.05,91.95
Bokura wa Minna Kawai-sou,4350,15288,346,22.15,77.85
Bokura wa Minna Kawai-sou Specials,259,834,3711,23.7,76.3
Bokura wa Minna Kawai-sou: Hajimete no,754,2894,2208,20.67,79.33
Bomberman B-Daman Bakugaiden Victory,60,130,7988,31.58,68.42
Boruto: Jump Festa 2016 Special,181,538,4458,25.17,74.83
Boruto: Naruto the Movie,2427,7901,484,23.5,76.5
Boukyaku no Senritsu,616,2222,3206,21.71,78.29
Boy Meets Harem The Animation,56,788,4055,6.64,93.36
Brave Story,1831,3161,2116,36.68,63.32
Break Blade,1146,4675,1335,19.69,80.31
Break Blade 1: Kakusei no Toki,2290,8630,1224,20.97,79.03
Break Blade 3: Kyoujin no Ato,1302,6401,1574,16.9,83.1
Break Blade 5: Shisen no Hate,1139,5951,1640,16.06,83.94
Break Blade: Virgins War,69,258,6142,21.1,78.9
Bubuki Buranki,1057,4351,1406,19.55,80.45
