ZodiacSign,Genre,Count
Gemini,Sci-Fi,77
Virgo,Magic,35
Gemini,Shounen,45
Libra,Magic,24
Libra,Hentai,41
Leo,Seinen,19
Cancer,Space,11
Virgo,Seinen,23
Leo,Yaoi,2
Taurus,Adventure,68
Libra,Seinen,18
Gemini,Ecchi,13
Pisces,Yaoi,1
Unknown,Game,219
Sagittarius,Psychological,5
Capricorn,Supernatural,28
Scorpio,Fantasy,76
Taurus,Mecha,25
Virgo,Fantasy,88
Leo,Shoujo,24
Libra,Police,4
Aries,Unknown,1
Aquarius,Comedy,137
Virgo,Police,8
Scorpio,Mecha,22
Scorpio,Martial Arts,12
Libra,Shoujo,16
Virgo,Harem,6
Unknown,Shounen,1047
Unknown,Martial Arts,234
Taurus,Unknown,2
Cancer,Super Power,20
Sagittarius,Yaoi,2
Aquarius,Action,93
Capricorn,School,44
Gemini,Martial Arts,10
Scorpio,Vampire,6
Taurus,Ecchi,20
Pisces,Shoujo,10
Sagittarius,Police,10
Pisces,Demons,11
Sagittarius,Yuri,1
Virgo,Cars,2
Scorpio,Adventure,68
Aquarius,Game,12
Virgo,Horror,17
Aries,Shounen Ai,3
Aries,Samurai,4
Libra,Yaoi,1
Leo,Drama,55
Aries,Psychological,9
Unknown,Romance,1000
Leo,Mystery,20
Aries,Music,28
Sagittarius,Romance,51
Aquarius,Kids,44
Libra,Shounen,36
Virgo,Sci-Fi,60
Gemini,Sports,18
Cancer,Psychological,5
Cancer,Hentai,38
Libra,Romance,39
Scorpio,Hentai,43
Gemini,Shounen Ai,2
Virgo,Thriller,4
Cancer,Shounen Ai,4
Libra,Thriller,4
Gemini,Vampire,5
Aquarius,Slice of Life,48
Capricorn,Magic,28
Scorpio,Samurai,6
Unknown,Cars,54
Aries,School,45
Unknown,Thriller,76
Taurus,Mystery,22
Capricorn,Harem,13
Virgo,Supernatural,45
Libra,Action,95
Pisces,Fantasy,62
Sagittarius,Adventure,80
Aquarius,Mystery,19
Capricorn,Action,97
Taurus,Parody,27
Aquarius,Dementia,5
Capricorn,Shounen Ai,5
Leo,Unknown,4
Scorpio,Cars,3
Aquarius,Space,8
Virgo,Sports,23
Aquarius,Fantasy,89
Gemini,Action,107
Libra,Slice of Life,47
Leo,Sci-Fi,55
Aries,Horror,11
Unknown,Supernatural,858
Scorpio,Seinen,21
Gemini,Parody,12
Leo,Demons,14
Scorpio,Space,10
Libra,Yuri,1
Taurus,Hentai,41
Leo,Martial Arts,10
Aries,Military,7
Cancer,Harem,17
Libra,Historical,24
Gemini,Hentai,48
Unknown,Military,301
Aquarius,Romance,39
Virgo,Demons,17
Unknown,Ecchi,401
Scorpio,Slice of Life,34
Gemini,Supernatural,34
Libra,Adventure,76
Aquarius,Police,7
Libra,Cars,6
Taurus,Shoujo,11
Virgo,Vampire,2
Aquarius,Historical,25
Leo,Horror,9
Virgo,Unknown,2
Sagittarius,Music,40
Scorpio,Harem,9
Capricorn,Horror,11
Capricorn,Seinen,23
Unknown,Horror,263
Aries,Supernatural,32
Cancer,Cars,4
Libra,Music,38
Sagittarius,Space,10
Taurus,Josei,2
Unknown,Space,258
Sagittarius,Comedy,162
Gemini,Shoujo,23
Leo,Game,9
Unknown,Slice of Life,1042
Libra,Super Power,21
Aries,Harem,15
Virgo,Dementia,10
Scorpio,Thriller,4
Aquarius,Military,11
Gemini,School,45
Libra,Demons,12
Sagittarius,Supernatural,36
Aries,Josei,4
Aries,Parody,15
Gemini,Drama,57
Aquarius,Sci-Fi,58
Capricorn,Mecha,20
Sagittarius,Game,7
Cancer,Action,103
Leo,Dementia,8
Virgo,Romance,42
Pisces,Slice of Life,47
Leo,Thriller,3
Sagittarius,Fantasy,70
Capricorn,Shoujo Ai,1
Capricorn,Demons,16
Unknown,Shoujo,402
Unknown,Police,119
Aries,Vampire,2
Virgo,Shounen Ai,1
Pisces,Seinen,18
Unknown,Sci-Fi,1334
Unknown,Seinen,481
Pisces,Ecchi,12
Gemini,Harem,12
Pisces,Mystery,16
Taurus,Military,14
Capricorn,Hentai,42
Aquarius,Hentai,38
Unknown,Parody,360
Aries,Demons,15
Libra,Fantasy,90
Aquarius,Music,30
Pisces,Action,81
Virgo,Comedy,149
Leo,Ecchi,25
Sagittarius,Action,90
Libra,Dementia,12
Unknown,Comedy,3276
Libra,Kids,40
Taurus,Fantasy,84
Gemini,Adventure,71
Leo,Mecha,16
Cancer,Sports,13
Taurus,Police,5
Sagittarius,Hentai,46
Pisces,Police,4
Libra,Psychological,14
Leo,Historical,21
Libra,Samurai,2
Sagittarius,Sci-Fi,60
Scorpio,Shoujo Ai,2
Cancer,Kids,44
Aries,Ecchi,27
Cancer,Shoujo,13
Unknown,Dementia,195
Virgo,Shounen,54
Unknown,Yaoi,20
Cancer,Ecchi,28
Aquarius,Shounen,49
Gemini,Comedy,150
Libra,School,44
Aquarius,Josei,5
Cancer,Drama,52
Capricorn,Romance,59
Aquarius,Mecha,23
Gemini,Psychological,6
Libra,Military,15
Pisces,Military,10
Aries,Romance,36
Unknown,Action,2227
Aquarius,Shoujo,15
Aquarius,Super Power,14
Leo,Super Power,17
Aquarius,Sports,17
Aquarius,Parody,18
Capricorn,Slice of Life,59
Virgo,Mystery,16
Aries,Thriller,2
Scorpio,Josei,1
Taurus,Drama,63
Taurus,Vampire,8
Libra,Vampire,3
Capricorn,Sci-Fi,62
Gemini,Game,9
Pisces,Game,8
Aquarius,Shoujo Ai,1
Scorpio,Supernatural,34
Cancer,Shoujo Ai,1
Aquarius,Shounen Ai,4
Leo,Samurai,3
Sagittarius,Shoujo Ai,5
Scorpio,Sports,17
Capricorn,Cars,3
Pisces,Supernatural,34
Cancer,Demons,12
Aquarius,Supernatural,31
Leo,Psychological,10
Capricorn,Josei,3
Leo,Action,81
Virgo,Kids,45
Aries,Shoujo Ai,1
Virgo,Action,113
Pisces,Historical,19
Leo,Sports,19
Scorpio,Music,27
Aquarius,Martial Arts,15
Aries,Dementia,10
Libra,Josei,1
Unknown,Mecha,591
Aries,Mecha,26
Aries,Comedy,128
Aries,Slice of Life,40
Pisces,Magic,14
Sagittarius,Kids,51
Virgo,Space,9
Scorpio,Shounen,48
Taurus,Dementia,8
Unknown,School,950
Cancer,Mecha,30
Libra,Drama,60
Taurus,Demons,16
Unknown,Magic,592
Virgo,Samurai,6
Taurus,Supernatural,43
Gemini,Super Power,14
Taurus,Martial Arts,10
Unknown,Psychological,192
Taurus,Romance,46
Libra,Mecha,29
Libra,Shoujo Ai,1
Sagittarius,Mecha,23
Capricorn,Fantasy,84
Leo,Vampire,5
Aquarius,Yaoi,3
Pisces,Martial Arts,5
Gemini,Josei,3
Cancer,Josei,4
Unknown,Music,873
Gemini,Slice of Life,48
Pisces,Adventure,65
Aries,Sci-Fi,66
Capricorn,Vampire,2
