ZodiacSign,Genre,Count
Pisces,Magic,13
Cancer,Sports,11
Gemini,Sci-Fi,15
Capricorn,Kids,36
Libra,Yuri,1
Virgo,Magic,4
Libra,Josei,1
Libra,Hentai,36
Pisces,Dementia,4
Capricorn,Vampire,2
Libra,Kids,27
Cancer,Kids,32
Virgo,Seinen,1
Unknown,School,928
Cancer,School,38
Taurus,Adventure,32
Cancer,Demons,12
Leo,Shounen Ai,2
Gemini,Ecchi,2
Aquarius,Dementia,1
Capricorn,Shounen,44
Aries,Sports,13
Cancer,Martial Arts,11
Aries,Yuri,2
Unknown,Cars,34
Unknown,Game,102
Sagittarius,Mystery,16
Aries,Historical,14
Sagittarius,Kids,34
Sagittarius,Psychological,1
Aquarius,Harem,1
Virgo,Police,8
Taurus,Mecha,3
Pisces,Police,4
Leo,Police,7
Scorpio,Fantasy,10
Capricorn,Slice of Life,31
Gemini,Supernatural,33
Sagittarius,Seinen,24
Virgo,Fantasy,11
Aries,Unknown,1
Leo,Space,11
Aquarius,Comedy,61
Capricorn,Horror,7
Scorpio,Mecha,1
Virgo,Harem,1
Sagittarius,Military,10
Unknown,Shounen,10
Scorpio,Yaoi,1
Unknown,Magic,522
Gemini,Magic,25
Scorpio,Shoujo,11
Scorpio,Slice of Life,16
Unknown,Martial Arts,5
Taurus,Unknown,2
Aquarius,Action,93
Gemini,Shounen,45
Taurus,Sci-Fi,55
Taurus,School,54
Aquarius,Police,7
Capricorn,Thriller,3
Gemini,Comedy,67
Taurus,Demons,15
Cancer,Music,13
Taurus,Ecchi,3
Cancer,Shounen,60
Capricorn,School,44
Pisces,Demons,3
Capricorn,Music,13
Aquarius,School,39
Capricorn,Shoujo,22
Virgo,Cars,2
Sagittarius,Sci-Fi,44
Aquarius,Sports,14
Scorpio,Adventure,30
Cancer,Space,11
Leo,Samurai,3
Taurus,Horror,8
Virgo,Horror,2
Aquarius,Game,6
Aquarius,Super Power,14
Virgo,Super Power,16
Capricorn,Samurai,6
Aquarius,Shounen,48
Unknown,Sports,287
Unknown,Historical,471
Leo,Drama,15
Pisces,Horror,12
Leo,Game,6
Cancer,Vampire,1
Scorpio,Supernatural,33
Unknown,Romance,77
Virgo,Romance,38
Sagittarius,Romance,6
Leo,Mystery,8
Cancer,Harem,8
Aries,Music,21
Aries,Sci-Fi,49
Virgo,Sports,18
Leo,School,43
Aquarius,Kids,17
Pisces,Kids,22
Virgo,Sci-Fi,13
Gemini,Sports,6
Cancer,Psychological,4
Gemini,Mecha,30
Unknown,Game,117
Cancer,Hentai,36
Scorpio,Hentai,35
Libra,Romance,2
Aquarius,Slice of Life,26
Leo,Mecha,14
Scorpio,Horror,8
Capricorn,Magic,3
Unknown,Cars,20
Aries,Supernatural,31
Cancer,Romance,40
Scorpio,School,34
Gemini,Shoujo Ai,1
Taurus,Thriller,6
Unknown,Thriller,2
Unknown,Shounen,1037
Gemini,Seinen,27
Capricorn,Harem,4
Leo,Military,14
Aries,Shounen Ai,3
Virgo,Supernatural,1
Taurus,Mystery,5
Unknown,Parody,314
Sagittarius,Adventure,42
Sagittarius,Magic,23
Libra,Action,95
Sagittarius,Romance,45
Pisces,Fantasy,14
Aquarius,Mystery,7
Unknown,Mecha,537
Capricorn,Action,97
Libra,Adventure,36
Taurus,Parody,2
Scorpio,Drama,29
Libra,Harem,10
Capricorn,Seinen,23
Aquarius,Dementia,4
Scorpio,Cars,1
Leo,Unknown,4
Aquarius,Josei,5
Virgo,Ecchi,23
Aquarius,Space,2
Pisces,Space,9
Unknown,Mystery,290
Scorpio,Samurai,6
Virgo,Sports,5
Unknown,Romance,923
Unknown,Adventure,797
Gemini,Action,107
Leo,Shounen,51
Aquarius,Fantasy,14
Libra,Slice of Life,21
Aquarius,Supernatural,30
Aries,Horror,1
Cancer,Military,13
Leo,Sci-Fi,13
Cancer,Super Power,20
Unknown,Supernatural,33
Aries,Shounen,54
Unknown,Police,117
Leo,Demons,3
Scorpio,Space,1
Taurus,Hentai,36
Libra,Horror,6
Aquarius,Drama,44
Virgo,Sci-Fi,47
Pisces,Harem,5
Cancer,Harem,9
Gemini,Hentai,41
Libra,Historical,4
Unknown,Military,56
Unknown,Thriller,74
Virgo,Demons,2
Virgo,Shoujo Ai,6
Aries,Martial Arts,5
Scorpio,Slice of Life,18
Taurus,Adventure,36
Unknown,Ecchi,64
Scorpio,Super Power,13
Aries,Space,9
Gemini,Supernatural,1
Libra,Adventure,40
Libra,Magic,24
Aquarius,Game,6
Libra,Cars,4
Capricorn,Hentai,8
Unknown,Comedy,1603
Scorpio,Martial Arts,12
Aquarius,Historical,8
Virgo,Unknown,2
Leo,Horror,1
Capricorn,Comedy,68
Taurus,Hentai,5
